2025-04-16T10:19:17.126044+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 51, 'onboardCount2': 3, 'offboardCount': 0, 'totalOccupancy': 54}
2025-04-16T10:19:32.110338+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 51, 'onboardCount2': 3, 'offboardCount': 0, 'totalOccupancy': 54}
2025-04-16T10:19:47.153092+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 51, 'onboardCount2': 3, 'offboardCount': 0, 'totalOccupancy': 54}
2025-04-16T10:20:02.281080+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 51, 'onboardCount2': 3, 'offboardCount': 0, 'totalOccupancy': 54}
2025-04-16T10:20:17.172638+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 51, 'onboardCount2': 3, 'offboardCount': 0, 'totalOccupancy': 54}
2025-04-16T10:20:32.174425+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 51, 'onboardCount2': 3, 'offboardCount': 0, 'totalOccupancy': 54}
2025-04-16T10:20:47.190300+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 51, 'onboardCount2': 3, 'offboardCount': 0, 'totalOccupancy': 54}
2025-04-16T10:21:02.424615+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 51, 'onboardCount2': 3, 'offboardCount': 0, 'totalOccupancy': 54}
2025-04-16T10:21:17.168729+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 51, 'onboardCount2': 3, 'offboardCount': 0, 'totalOccupancy': 54}
2025-04-16T10:21:32.337747+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 51, 'onboardCount2': 3, 'offboardCount': 0, 'totalOccupancy': 54}
2025-04-16T10:21:47.146378+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 51, 'onboardCount2': 3, 'offboardCount': 0, 'totalOccupancy': 54}
2025-04-16T10:22:02.239314+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 51, 'onboardCount2': 3, 'offboardCount': 0, 'totalOccupancy': 54}
2025-04-16T10:22:17.164475+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 51, 'onboardCount2': 3, 'offboardCount': 0, 'totalOccupancy': 54}
2025-04-16T10:22:32.312584+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 51, 'onboardCount2': 3, 'offboardCount': 0, 'totalOccupancy': 54}
2025-04-16T10:22:47.216109+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 51, 'onboardCount2': 3, 'offboardCount': 0, 'totalOccupancy': 54}
2025-04-16T10:23:02.249328+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 51, 'onboardCount2': 3, 'offboardCount': 0, 'totalOccupancy': 54}
2025-04-16T10:23:17.205397+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 51, 'onboardCount2': 3, 'offboardCount': 0, 'totalOccupancy': 54}
2025-04-16T10:32:26.601474+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 24, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 24}
2025-04-16T10:32:41.641274+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 24, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 24}
2025-04-16T10:32:56.601284+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 24, 'onboardCount2': 11, 'offboardCount': 1, 'totalOccupancy': 34}
2025-04-16T10:33:11.630601+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 24, 'onboardCount2': 11, 'offboardCount': 1, 'totalOccupancy': 34}
2025-04-16T10:33:26.679025+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 24, 'onboardCount2': 11, 'offboardCount': 1, 'totalOccupancy': 34}
2025-04-16T10:33:41.595268+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 24, 'onboardCount2': 11, 'offboardCount': 1, 'totalOccupancy': 34}
2025-04-16T10:48:26.025430+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 0, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 0}
2025-04-16T10:48:41.163454+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 10, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 10}
2025-04-16T10:48:55.800310+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 21, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 21}
2025-04-16T10:49:10.964643+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 21, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 21}
2025-04-16T10:49:26.192420+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 21, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 21}
2025-04-16T10:49:41.145066+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 21, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 21}
2025-04-16T10:49:56.299440+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 21, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 21}
2025-04-16T10:50:10.847723+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 21, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 21}
2025-04-16T10:50:26.104919+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 21, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 21}
2025-04-16T10:50:41.374806+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 21, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 21}
2025-04-16T10:50:55.808912+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 21, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 21}
2025-04-16T10:51:11.177104+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 21, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 21}
2025-04-16T10:51:26.222105+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 21, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 21}
2025-04-16T10:51:41.264950+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 21, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 21}
2025-04-16T10:51:55.832371+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 21, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 21}
2025-04-16T10:52:11.261699+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 21, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 21}
2025-04-16T10:52:25.915213+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 21, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 21}
2025-04-16T10:52:40.890017+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 21, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 21}
2025-04-16T10:52:56.353247+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 21, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 21}
2025-04-16T10:53:11.268188+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 21, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 21}
2025-04-16T10:53:25.920608+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 21, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 21}
2025-04-16T10:53:41.377019+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 21, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 21}
2025-04-16T10:53:55.943585+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 21, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 21}
2025-04-16T10:54:11.291710+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 21, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 21}
2025-04-16T10:54:26.189748+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 21, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 21}
2025-04-16T10:54:41.383844+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 21, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 21}
